ticker,company_name,sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc.,Technology
AMZN,Amazon.com Inc.,Consumer Cyclical
META,Meta Platforms Inc.,Technology
TSLA,Tesla Inc.,Consumer Cyclical
JPM,JPMorgan Chase & Co.,Financial Services
V,Visa Inc.,Financial Services
PG,Procter & Gamble Co.,Consumer Defensive
WMT,Walmart Inc.,Consumer Defensive
JNJ,Johnson & Johnson,Healthcare
BAC,Bank of America Corp.,Financial Services
MA,Mastercard Inc.,Financial Services
NVDA,NVIDIA Corporation,Technology
HD,Home Depot Inc.,Consumer Cyclical
UNH,UnitedHealth Group Inc.,Healthcare
PFE,Pfizer Inc.,Healthcare
DIS,The Walt Disney Co.,Communication Services
NFLX,Netflix Inc.,Communication Services
INTC,Intel Corporation,Technology
T,AT&T Inc.,Communication Services
VZ,Verizon Communications Inc.,Communication Services
CSCO,Cisco Systems Inc.,Technology
ADBE,Adobe Inc.,Technology
CRM,Salesforce Inc.,Technology
PYPL,PayPal Holdings Inc.,Financial Services
CMCSA,Comcast Corporation,Communication Services
COST,Costco Wholesale Corporation,Consumer Defensive
ABT,Abbott Laboratories,Healthcare
MRK,Merck & Co. Inc.,Healthcare
AMD,Advanced Micro Devices Inc.,Technology
NKE,Nike Inc.,Consumer Cyclical
XOM,Exxon Mobil Corporation,Energy
CVX,Chevron Corporation,Energy
KO,The Coca-Cola Company,Consumer Defensive
PEP,PepsiCo Inc.,Consumer Defensive
TMO,Thermo Fisher Scientific Inc.,Healthcare
ABBV,AbbVie Inc.,Healthcare
AVGO,Broadcom Inc.,Technology
ACN,Accenture plc,Technology
MCD,McDonald's Corporation,Consumer Cyclical
LLY,Eli Lilly and Company,Healthcare
TXN,Texas Instruments Inc.,Technology
NEE,NextEra Energy Inc.,Utilities
BMY,Bristol-Myers Squibb Co.,Healthcare
WFC,Wells Fargo & Company,Financial Services
ORCL,Oracle Corporation,Technology
QCOM,Qualcomm Inc.,Technology
LIN,Linde plc,Basic Materials
DHR,Danaher Corporation,Healthcare
PM,Philip Morris International Inc.,Consumer Defensive